name,has_cast_vote,is_logged_in,password,node_address,timestamp,Date/Time,HourOfDay
Britney Simpson,False,False,password,,,,
April Hart,True,False,password,Norm1,1681984882.0,2023-04-20 10:01:22,10.0
Rodney Salinas,True,False,password,Norm1,1681984882.0,2023-04-20 10:01:22,10.0
Latisha White,False,False,password,,,,
Jerrold Simpson,True,False,password,Norm1,1681984882.0,2023-04-20 10:01:22,10.0
Teddy Bean,True,False,password,Norm1,1681984882.0,2023-04-20 10:01:22,10.0
Morgan Hines,False,False,password,,,,
Kurt Huber,True,False,password,Norm1,1681984882.0,2023-04-20 10:01:22,10.0
Andrea Barajas,True,False,password,Norm1,1681984882.0,2023-04-20 10:01:22,10.0
Garfield Leon,False,False,password,,,,
Cristobal Brown,True,False,password,Norm1,1681984882.0,2023-04-20 10:01:22,10.0
Kurt Greer,True,False,password,Norm1,1681984882.0,2023-04-20 10:01:22,10.0
Buck Hurst,True,False,password,Norm1,1681984882.0,2023-04-20 10:01:22,10.0
Beatriz Mcguire,True,False,password,Norm1,1681984882.0,2023-04-20 10:01:22,10.0
Francisca Hines,True,False,password,Norm1,1681984882.0,2023-04-20 10:01:22,10.0
Garfield Schaefer,True,False,password,Norm1,1681984882.0,2023-04-20 10:01:22,10.0
Francis Perry,True,False,password,Norm1,1681984882.0,2023-04-20 10:01:22,10.0
Elisha White,True,False,password,Norm1,1681984882.0,2023-04-20 10:01:22,10.0
Lonnie Murray,False,False,password,,,,
Amado Schmidt,True,False,password,Norm1,1681984882.0,2023-04-20 10:01:22,10.0
Emory Cooke,True,False,password,Norm1,1681984882.0,2023-04-20 10:01:22,10.0
Marcos Sims,False,False,password,,,,
Chandra Wilkins,True,False,password,Norm1,1681984882.0,2023-04-20 10:01:22,10.0
Dante Farrell,True,False,password,Norm1,1681984882.0,2023-04-20 10:01:22,10.0
Carey Farrell,True,False,password,Norm1,1681984882.0,2023-04-20 10:01:22,10.0
Floyd Kerr,True,False,password,Norm1,1681984882.0,2023-04-20 10:01:22,10.0
Jan Pham,True,False,password,Norm1,1681984882.0,2023-04-20 10:01:22,10.0
Lakeisha Hernandez,True,False,password,Norm1,1681984882.0,2023-04-20 10:01:22,10.0
Larry Castaneda,False,False,password,,,,
Rhea Sharp,True,False,password,Norm1,1681984882.0,2023-04-20 10:01:22,10.0
Pierre Deleon,True,False,password,Norm1,1681984882.0,2023-04-20 10:01:22,10.0
Andrea Mitchell,True,False,password,Norm1,1681984882.0,2023-04-20 10:01:22,10.0
Chandra Larson,True,False,password,Norm1,1681984882.0,2023-04-20 10:01:22,10.0
Marion Barajas,False,False,password,,,,
Scott Greer,True,False,password,Norm1,1681984882.0,2023-04-20 10:01:22,10.0
Louisa Vang,True,False,password,Norm1,1681984882.0,2023-04-20 10:01:22,10.0
Jacqueline Davidson,False,False,password,,,,
Lesley Fisher,True,False,password,Norm1,1681984882.0,2023-04-20 10:01:22,10.0
Jan Park,True,False,password,Norm1,1681984882.0,2023-04-20 10:01:22,10.0
Omer Miles,True,False,password,Norm1,1681984882.0,2023-04-20 10:01:22,10.0
