name,has_cast_vote,is_logged_in,password,node_address,timestamp,Date/Time,HourOfDay
Hugh Schwartz,True,False,password,Norm2,1681986049.0,2023-04-20 10:20:49,10.0
Morgan Wilkins,True,False,password,Norm1,1681986049.0,2023-04-20 10:20:49,10.0
Keenan Hernandez,True,False,password,Norm1,1681986049.0,2023-04-20 10:20:49,10.0
Wes Shea,True,False,password,Norm1,1681986049.0,2023-04-20 10:20:49,10.0
Diann Erickson,True,False,password,Norm2,1681986049.0,2023-04-20 10:20:49,10.0
Yesenia White,True,False,password,Norm2,1681986049.0,2023-04-20 10:20:49,10.0
Chelsea Watson,True,False,password,Norm1,1681986049.0,2023-04-20 10:20:49,10.0
Donovan Park,True,False,password,Norm1,1681986049.0,2023-04-20 10:20:49,10.0
Rigoberto Christensen,True,False,password,Norm2,1681986049.0,2023-04-20 10:20:49,10.0
Lynwood Atkinson,True,False,password,Norm1,1681986049.0,2023-04-20 10:20:49,10.0
Jolene Leon,True,False,password,Norm2,1681986049.0,2023-04-20 10:20:49,10.0
Kurt Greer,False,False,password,,,,
Omer Howell,False,False,password,,,,
Barney Howell,True,False,password,Norm2,1681986049.0,2023-04-20 10:20:49,10.0
Blanca Hurst,True,False,password,Norm1,1681986049.0,2023-04-20 10:20:49,10.0
Thelma Kerr,False,False,password,,,,
Raul Pittman,True,False,password,Norm1,1681986049.0,2023-04-20 10:20:49,10.0
Keenan Perry,True,False,password,Norm2,1681986049.0,2023-04-20 10:20:49,10.0
Tanner Cooley,True,False,password,Norm1,1681986049.0,2023-04-20 10:20:49,10.0
Floyd Zamora,True,False,password,Norm1,1681986049.0,2023-04-20 10:20:49,10.0
Cristobal Mitchell,True,False,password,Norm2,1681986049.0,2023-04-20 10:20:49,10.0
Rosella Larson,True,False,password,Norm2,1681986049.0,2023-04-20 10:20:49,10.0
Rodney Watson,True,False,password,Norm1,1681986049.0,2023-04-20 10:20:49,10.0
Louisa Cooke,True,False,password,Norm2,1681986049.0,2023-04-20 10:20:49,10.0
Lorene Lawson,True,False,password,Norm1,1681986049.0,2023-04-20 10:20:49,10.0
Flossie Watson,True,False,password,Norm1,1681986049.0,2023-04-20 10:20:49,10.0
Katina Nixon,True,False,password,Norm1,1681986049.0,2023-04-20 10:20:49,10.0
Kurt Vang,True,False,password,Norm2,1681986049.0,2023-04-20 10:20:49,10.0
Omer Dawson,True,False,password,Norm2,1681986049.0,2023-04-20 10:20:49,10.0
Lynwood Floyd,False,False,password,,,,
