name,has_cast_vote,is_logged_in,password,node_address,timestamp,Date/Time,HourOfDay
Jerrold Huber,True,False,password,Norm3,1681992434.0,2023-04-20 12:07:14,12.0
Bennie Calhoun,True,False,password,Norm2,1681992434.0,2023-04-20 12:07:14,12.0
Erica Leon,True,False,password,Norm2,1681992434.0,2023-04-20 12:07:14,12.0
Scott Erickson,True,False,password,Norm1,1681992434.0,2023-04-20 12:07:14,12.0
Lynda Schaefer,True,False,password,Norm1,1681992434.0,2023-04-20 12:07:14,12.0
Chandra Murray,True,False,password,Norm2,1681992434.0,2023-04-20 12:07:14,12.0
Jesse Joyce,True,False,password,Norm3,1681992434.0,2023-04-20 12:07:14,12.0
Felipe Ochoa,True,False,password,Norm2,1681992434.0,2023-04-20 12:07:14,12.0
Hong Nixon,True,False,password,Norm1,1681992434.0,2023-04-20 12:07:14,12.0
Rhea Burnett,True,False,password,Norm3,1681992434.0,2023-04-20 12:07:14,12.0
Elisha Miles,True,False,password,Norm2,1681992434.0,2023-04-20 12:07:14,12.0
Marci Leon,True,False,password,Norm2,1681992434.0,2023-04-20 12:07:14,12.0
Beryl Farrell,True,False,password,Norm2,1681992434.0,2023-04-20 12:07:14,12.0
Lonnie Floyd,False,False,password,,,,
Laurel Blankenship,True,False,password,Norm3,1681992434.0,2023-04-20 12:07:14,12.0
Chelsea Simpson,True,False,password,Norm2,1681992434.0,2023-04-20 12:07:14,12.0
Hugh Patton,False,False,password,,,,
Omar Cantu,True,False,password,Norm1,1681992434.0,2023-04-20 12:07:14,12.0
Kelvin Clark,True,False,password,Norm1,1681992434.0,2023-04-20 12:07:14,12.0
Raquel Mcguire,True,False,password,Norm1,1681992434.0,2023-04-20 12:07:14,12.0
Hollie Sims,True,False,password,Norm3,1681992434.0,2023-04-20 12:07:14,12.0
Beryl Park,True,False,password,Norm1,1681992434.0,2023-04-20 12:07:14,12.0
Peggy Richardson,True,False,password,Norm1,1681992434.0,2023-04-20 12:07:14,12.0
Flossie Bean,True,False,password,Norm1,1681992434.0,2023-04-20 12:07:14,12.0
Marion Vang,False,False,password,,,,
Rigoberto Deleon,True,False,password,Norm2,1681992434.0,2023-04-20 12:07:14,12.0
Ila Floyd,True,False,password,Norm1,1681992434.0,2023-04-20 12:07:14,12.0
Ray Schwartz,True,False,password,Norm3,1681992434.0,2023-04-20 12:07:14,12.0
Beryl Andersen,True,False,password,Norm2,1681992434.0,2023-04-20 12:07:14,12.0
Mara Blankenship,True,False,password,Norm2,1681992434.0,2023-04-20 12:07:14,12.0
Britney Mitchell,False,False,password,,,,
Andres Floyd,False,False,password,,,,
Cristobal Castaneda,True,False,password,Norm3,1681992434.0,2023-04-20 12:07:14,12.0
Garfield Christensen,False,False,password,,,,
Emory Poole,True,False,password,Norm1,1681992434.0,2023-04-20 12:07:14,12.0
Andrea Vang,True,False,password,Norm2,1681992434.0,2023-04-20 12:07:14,12.0
Garfield Downs,True,False,password,Norm1,1681992434.0,2023-04-20 12:07:14,12.0
Larry Macdonald,True,False,password,Norm1,1681992434.0,2023-04-20 12:07:14,12.0
Ila Huber,True,False,password,Norm3,1681992434.0,2023-04-20 12:07:14,12.0
Erica Forbes,True,False,password,Norm2,1681992434.0,2023-04-20 12:07:14,12.0
Cristobal Sims,True,False,password,Norm1,1681992434.0,2023-04-20 12:07:14,12.0
Darren Mccann,True,False,password,Norm1,1681992434.0,2023-04-20 12:07:14,12.0
Ruby Erickson,True,False,password,Norm2,1681992434.0,2023-04-20 12:07:14,12.0
Marion Barrera,True,False,password,Norm2,1681992434.0,2023-04-20 12:07:14,12.0
Latisha Patton,True,False,password,Norm2,1681992434.0,2023-04-20 12:07:14,12.0
Dante Cantu,False,False,password,,,,
Felipe Hernandez,True,False,password,Norm3,1681992434.0,2023-04-20 12:07:14,12.0
Andrea Wilkins,True,False,password,Norm3,1681992434.0,2023-04-20 12:07:14,12.0
Sarah Austin,True,False,password,Norm1,1681992434.0,2023-04-20 12:07:14,12.0
Tanner Barrera,True,False,password,Norm2,1681992434.0,2023-04-20 12:07:14,12.0
Peggy Jones,True,False,password,Norm2,1681992434.0,2023-04-20 12:07:14,12.0
Liza Potter,True,False,password,Norm2,1681992434.0,2023-04-20 12:07:14,12.0
Larry Wilkins,False,False,password,,,,
Jesse Sims,True,False,password,Norm3,1681992434.0,2023-04-20 12:07:14,12.0
Larry Sheppard,True,False,password,Norm2,1681992434.0,2023-04-20 12:07:14,12.0
Lynda Bean,True,False,password,Norm2,1681992434.0,2023-04-20 12:07:14,12.0
Omer Floyd,True,False,password,Norm3,1681992434.0,2023-04-20 12:07:14,12.0
Hong Poole,True,False,password,Norm3,1681992434.0,2023-04-20 12:07:14,12.0
Rhea Zamora,True,False,password,Norm2,1681992434.0,2023-04-20 12:07:14,12.0
Toney Bullock,True,False,password,Norm2,1681992434.0,2023-04-20 12:07:14,12.0
