name,has_cast_vote,is_logged_in,password,node_address,timestamp,Date/Time,HourOfDay
Rigoberto Schwartz,True,False,password,Norm3,1681994038.0,2023-04-20 12:33:58,12.0
Hollie Salinas,False,False,password,,,,
Dennis Fisher,True,False,password,Norm3,1681994038.0,2023-04-20 12:33:58,12.0
Dennis Roach,False,False,password,,,,
Beryl Hernandez,True,False,password,Norm1,1681994038.0,2023-04-20 12:33:58,12.0
Laurel Burnett,False,False,password,,,,
Marci Herrera,True,False,password,Norm2,1681994038.0,2023-04-20 12:33:58,12.0
Rosanne Hodges,True,False,password,Norm1,1681994038.0,2023-04-20 12:33:58,12.0
Hollie Floyd,True,False,password,Norm2,1681994038.0,2023-04-20 12:33:58,12.0
Jerrold Richardson,True,False,password,Norm1,1681994038.0,2023-04-20 12:33:58,12.0
Rosie Davidson,True,False,password,Norm3,1681994038.0,2023-04-20 12:33:58,12.0
Garfield Perry,True,False,password,Norm2,1681994038.0,2023-04-20 12:33:58,12.0
Dante Mcguire,True,False,password,Norm3,1681994038.0,2023-04-20 12:33:58,12.0
Kelvin Bullock,True,False,password,Norm1,1681994038.0,2023-04-20 12:33:58,12.0
Floyd Miles,False,False,password,,,,
Chandra Farrell,True,False,password,Norm2,1681994038.0,2023-04-20 12:33:58,12.0
April Park,False,False,password,,,,
Barney Erickson,True,False,password,Norm3,1681994038.0,2023-04-20 12:33:58,12.0
Beatriz Lawson,False,False,password,,,,
Rosie Schwartz,True,False,password,Norm2,1681994038.0,2023-04-20 12:33:58,12.0
Marva Hines,True,False,password,Norm3,1681994038.0,2023-04-20 12:33:58,12.0
Teddy Whitehead,False,False,password,,,,
Hollie Sims,True,False,password,Norm3,1681994038.0,2023-04-20 12:33:58,12.0
Collin Watson,True,False,password,Norm1,1681994038.0,2023-04-20 12:33:58,12.0
Norma Mccann,True,False,password,Norm1,1681994038.0,2023-04-20 12:33:58,12.0
Jeff Cantu,True,False,password,Norm3,1681994038.0,2023-04-20 12:33:58,12.0
Andrea Larson,True,False,password,Norm2,1681994038.0,2023-04-20 12:33:58,12.0
Larry Atkinson,False,False,password,,,,
Thelma Farrell,True,False,password,Norm1,1681994038.0,2023-04-20 12:33:58,12.0
Kelvin Simpson,True,False,password,Norm2,1681994038.0,2023-04-20 12:33:58,12.0
Amos Mccann,True,False,password,Norm1,1681994038.0,2023-04-20 12:33:58,12.0
Jacqueline Watson,False,False,password,,,,
Laurel Erickson,False,False,password,,,,
Omar Pham,True,False,password,Norm2,1681994038.0,2023-04-20 12:33:58,12.0
Lynda Curry,True,False,password,Norm3,1681994038.0,2023-04-20 12:33:58,12.0
Marion Mitchell,False,False,password,,,,
Beatriz Kerr,True,False,password,Norm1,1681994038.0,2023-04-20 12:33:58,12.0
Louisa Larson,False,False,password,,,,
Yesenia Hines,True,False,password,Norm2,1681994038.0,2023-04-20 12:33:58,12.0
Carey Downs,True,False,password,Norm2,1681994038.0,2023-04-20 12:33:58,12.0
Jesse Farrell,False,False,password,,,,
Agustin Lawson,True,False,password,Norm2,1681994038.0,2023-04-20 12:33:58,12.0
Chauncey Cantu,True,False,password,Norm1,1681994038.0,2023-04-20 12:33:58,12.0
Erica Hendricks,False,False,password,,,,
Ruby Andersen,False,False,password,,,,
Rhea Atkinson,False,False,password,,,,
Diann Hodges,True,False,password,Norm3,1681994038.0,2023-04-20 12:33:58,12.0
Wes Christensen,True,False,password,Norm2,1681994038.0,2023-04-20 12:33:58,12.0
Elisha Downs,True,False,password,Norm3,1681994038.0,2023-04-20 12:33:58,12.0
Chelsea Mcguire,True,False,password,Norm1,1681994038.0,2023-04-20 12:33:58,12.0
Amado Meza,True,False,password,Norm3,1681994038.0,2023-04-20 12:33:58,12.0
Scott Cantu,False,False,password,,,,
