name,has_cast_vote,is_logged_in,password,node_address,timestamp,Date/Time,HourOfDay
Omar Downs,True,False,password,Norm3,1681988890.0,2023-04-20 11:08:10,11.0
Myron Brown,True,False,password,Norm1,1681988890.0,2023-04-20 11:08:10,11.0
Carey Leon,False,False,password,,,,
Lynda Atkinson,True,False,password,Norm3,1681988890.0,2023-04-20 11:08:10,11.0
Buck Greer,True,False,password,Norm3,1681988890.0,2023-04-20 11:08:10,11.0
Barney Bean,True,False,password,Norm2,1681988890.0,2023-04-20 11:08:10,11.0
Beatriz Hart,True,False,password,Norm2,1681988890.0,2023-04-20 11:08:10,11.0
Erica Schmidt,True,False,password,Norm1,1681988890.0,2023-04-20 11:08:10,11.0
Jolene Cantu,True,False,password,Norm1,1681988890.0,2023-04-20 11:08:10,11.0
Rosie Wilkins,True,False,password,Norm2,1681988890.0,2023-04-20 11:08:10,11.0
Britney Compton,True,False,password,Norm1,1681988890.0,2023-04-20 11:08:10,11.0
Jerrold Mcintosh,True,False,password,Norm3,1681988890.0,2023-04-20 11:08:10,11.0
Raul Caldwell,True,False,password,Norm2,1681988890.0,2023-04-20 11:08:10,11.0
Chelsea Compton,False,False,password,,,,
Leanna Watson,True,False,password,Norm3,1681988890.0,2023-04-20 11:08:10,11.0
Jerrold Castaneda,True,False,password,Norm3,1681988890.0,2023-04-20 11:08:10,11.0
Pierre Crosby,False,False,password,,,,
Garfield Pham,True,False,password,Norm3,1681988890.0,2023-04-20 11:08:10,11.0
Rosie Poole,True,False,password,Norm1,1681988890.0,2023-04-20 11:08:10,11.0
Scott Stokes,True,False,password,Norm1,1681988890.0,2023-04-20 11:08:10,11.0
Felipe Sharp,True,False,password,Norm2,1681988890.0,2023-04-20 11:08:10,11.0
Chauncey Barajas,True,False,password,Norm3,1681988890.0,2023-04-20 11:08:10,11.0
Scott Mcneil,True,False,password,Norm2,1681988890.0,2023-04-20 11:08:10,11.0
April Schaefer,True,False,password,Norm1,1681988890.0,2023-04-20 11:08:10,11.0
Lesley Caldwell,True,False,password,Norm2,1681988890.0,2023-04-20 11:08:10,11.0
Jacqueline Lawson,True,False,password,Norm2,1681988890.0,2023-04-20 11:08:10,11.0
Toney Blankenship,False,False,password,,,,
April Ochoa,True,False,password,Norm1,1681988890.0,2023-04-20 11:08:10,11.0
Britney Howell,False,False,password,,,,
Lacy Jones,True,False,password,Norm3,1681988890.0,2023-04-20 11:08:10,11.0
Dante Spencer,False,False,password,,,,
Diann Whitehead,False,False,password,,,,
Omer White,False,False,password,,,,
Liza Wilkins,True,False,password,Norm1,1681988890.0,2023-04-20 11:08:10,11.0
Lynda Zamora,True,False,password,Norm3,1681988890.0,2023-04-20 11:08:10,11.0
Darren Roach,False,False,password,,,,
Ruby Whitehead,True,False,password,Norm3,1681988890.0,2023-04-20 11:08:10,11.0
Lakeisha Bartlett,True,False,password,Norm2,1681988890.0,2023-04-20 11:08:10,11.0
Collin Potter,True,False,password,Norm3,1681988890.0,2023-04-20 11:08:10,11.0
