name,has_cast_vote,is_logged_in,password,node_address,timestamp,Date/Time,HourOfDay
Britney Washington,True,False,password,Norm1,1681999369.0,2023-04-20 14:02:49,14.0
Beryl Whitehead,True,False,password,Norm1,1681999369.0,2023-04-20 14:02:49,14.0
Lesley Jones,False,False,password,,,,
Carey Copeland,False,False,password,,,,
Marion Sims,True,False,password,Norm1,1681999369.0,2023-04-20 14:02:49,14.0
Dennis Larson,True,False,password,Norm1,1681999369.0,2023-04-20 14:02:49,14.0
Billie Blankenship,False,False,password,,,,
Cristobal Compton,False,False,password,,,,
Billie Sharp,True,False,password,Norm1,1681999369.0,2023-04-20 14:02:49,14.0
Britney Erickson,False,False,password,,,,
